Chef,City,Country,Cuisine,Has Michelin,LatLong,Region,Restaurant Name,State,Trip Name,Latitude,Longitude,Michelin Stars,Number of Records,Order of Visit
,Phnom Penh,Cambodia,Cambodian,No,"11.567489,104.929212",Asia,Friends the Restaurant,,,11.567489,104.929212,,1,
Richard Ekkebus,Hong Kong,China,French,Yes,"22.280936,114.157709",Asia,Amber,,,22.280936,114.157709,2,1,
Chan Yan-tak,Hong Kong,China,Chinese,Yes,"22.287786,114.15674",Asia,Lung King Heen,,,22.287786,114.15674,3,1,
,Hong Kong,China,Chinese,Yes,"22.285205,114.158203",Asia,Tim Ho Wan,,,22.285205,114.158203,1,1,
Vineet Bhatia.,Mumbai,India,Indian,Yes,"18.923094,72.832439",Asia,Indigo,,,18.923094,72.832439,1,1,
,Bintan,Indonesia,Asian,No,"1.184722,104.311699",Asia,Baan Aarya,,,1.184722,104.311699,,1,
,Jakarta,Indonesia,Thai,No,"1.266028,103.821441",Asia,Garuda Padang Cuisine,,,1.266028,103.821441,,1,
,Tokyo,Japan,Japanese,Yes,"35.671731,139.762956",Asia,Ginza Kojyu,,Japan Trip,35.671731,139.762956,3,1,8
Joël Robuchon,Tokyo,Japan,French,Yes,"35.663015,139.729072",Asia,L'ATELIER de Joel Robuchon,,Japan Trip,35.663015,139.729072,3,1,2
,Tokyo,Japan,Japanese,Yes,"35.666362,139.729072",Asia,Nihonryori RyuGin,,Japan Trip,35.666362,139.729072,3,1,1
,Tokyo,Japan,Japanese,No,"35.65883,139.743212",Asia,Nodaiwa,,Japan Trip,35.65883,139.743212,,1,7
Shuzo Kishida,Tokyo,Japan,French,Yes,"35.642545,139.721883",Asia,Quintessence,,Japan Trip,35.642545,139.721883,3,1,5
Azabu Yukimura,Tokyo,Japan,Japanese,Yes,"35.657802,139.732915",Asia,Azabu Yukimura,,Japan Trip,35.657802,139.732915,3,1,6
Shintaro Esaki,Tokyo,Japan,Japanese,Yes,"35.672358,139.712999",Asia,Esaki,,Japan Trip,35.672358,139.712999,3,1,4
